claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,source_type,checked_at
Allein im vergangenen Jahr kamen 65 Millionen Reisende nach Italien,https://www.remszeitung.de/reise/italien-urlaub-2026-diese-verbote-und-bussgelder-koennen-richtig-teuer-werden-YFA6E4ZAGYJEJZTE7RV57CYJYT.html,remszeitung.de,Italien-Urlaub 2026: Diese Verbote und Bußgelder können richtig teuer werden,0.1,LOW,False,,,unknown,2026-03-18T02:26:47.577972
2025 wurde die Gebühr auf 10 Euro erhöht sowie auf 54 Tage im Jahr (zwischen Mitte April und Ende Juli) ausgeweitet,https://www.remszeitung.de/reise/italien-urlaub-2026-diese-verbote-und-bussgelder-koennen-richtig-teuer-werden-YFA6E4ZAGYJEJZTE7RV57CYJYT.html,remszeitung.de,Italien-Urlaub 2026: Diese Verbote und Bußgelder können richtig teuer werden,0,LOW,False,,,unknown,2026-03-18T02:26:47.672622
"Weiterlesen nach der AnzeigeWeiterlesen nach der AnzeigeWer bei einer Kontrolle ohne die Bescheinigung erwischt wird, muss mit einer Geldstrafe von bis zu 300 Euro rechnen",https://www.remszeitung.de/reise/italien-urlaub-2026-diese-verbote-und-bussgelder-koennen-richtig-teuer-werden-YFA6E4ZAGYJEJZTE7RV57CYJYT.html,remszeitung.de,Italien-Urlaub 2026: Diese Verbote und Bußgelder können richtig teuer werden,0,LOW,False,,,unknown,2026-03-18T02:26:47.764767
Allein im vergangenen Jahr kamen 65 Millionen Reisende nach Italien,https://www.cz.de/reise/italien-urlaub-2026-diese-verbote-und-bussgelder-koennen-richtig-teuer-werden-YFA6E4ZAGYJEJZTE7RV57CYJYT.html,cz.de,Italien-Urlaub 2026: Diese Verbote und Bußgelder können richtig teuer werden,0.1,LOW,False,,,unknown,2026-03-18T02:26:48.307146
2025 wurde die Gebühr auf 10 Euro erhöht sowie auf 54 Tage im Jahr (zwischen Mitte April und Ende Juli) ausgeweitet,https://www.cz.de/reise/italien-urlaub-2026-diese-verbote-und-bussgelder-koennen-richtig-teuer-werden-YFA6E4ZAGYJEJZTE7RV57CYJYT.html,cz.de,Italien-Urlaub 2026: Diese Verbote und Bußgelder können richtig teuer werden,0,LOW,False,,,unknown,2026-03-18T02:26:48.399726
"Weiterlesen nach der AnzeigeWeiterlesen nach der AnzeigeWer bei einer Kontrolle ohne die Bescheinigung erwischt wird, muss mit einer Geldstrafe von bis zu 300 Euro rechnen",https://www.cz.de/reise/italien-urlaub-2026-diese-verbote-und-bussgelder-koennen-richtig-teuer-werden-YFA6E4ZAGYJEJZTE7RV57CYJYT.html,cz.de,Italien-Urlaub 2026: Diese Verbote und Bußgelder können richtig teuer werden,0,LOW,False,,,unknown,2026-03-18T02:26:48.493793
Er schrieb für den Liveblog der Zeitung »Times of Israel« eine Meldung von wenigen Zeilen Länge: Der Einschlag hatte keine großen Schäden angerichtet und es gab auch keine Verletzten,https://www.spiegel.de/netzwelt/polymarket-journalist-berichtet-von-todesdrohungen-a-705c44df-a8a2-47d0-8b94-e2cf394c25c3,spiegel.de,Polymarket: Journalist berichtet von Todesdrohungen - DER SPIEGEL,0.1,LOW,False,,,unknown,2026-03-18T02:26:49.279666
"Das ist ein Anstieg gegenüber dem letzten Tätigkeitsbericht 2022/2023 um 22,6 Prozent (1",https://www.presseportal.de/pm/73028/6237482,presseportal.de,"Abrechnungsbetrug im Gesundheitswesen - AOK holt 7,5 Millionen Euro zurück / ... | Presseportal",0,LOW,False,,,unknown,2026-03-18T02:26:50.397804
"Dabei wurden Gelder in Höhe von fast 7,5 Millionen Euro zurückgeholt, fast doppelt so viel wie im Vergleich zu den beiden Jahren zuvor mit fast vier Millionen Euro",https://www.presseportal.de/pm/73028/6237482,presseportal.de,"Abrechnungsbetrug im Gesundheitswesen - AOK holt 7,5 Millionen Euro zurück / ... | Presseportal",0,LOW,False,,,unknown,2026-03-18T02:26:50.497496
"""Bestätigt sich der Verdacht der Abrechnungsmanipulation, schalten wir die Staatsanwaltschaft ein und fordern die finanzielle Wiedergutmachung des Schadens ein",https://www.presseportal.de/pm/73028/6237482,presseportal.de,"Abrechnungsbetrug im Gesundheitswesen - AOK holt 7,5 Millionen Euro zurück / ... | Presseportal",0,LOW,False,,,unknown,2026-03-18T02:26:50.589766
